x-axis,MATH
Hertz,dBV
+2.130000E+03,-59.32125E+00
+2.135000E+03,-62.74125E+00
+2.140000E+03,-62.71250E+00
+2.145000E+03,-58.99813E+00
+2.150000E+03,-56.85313E+00
+2.155000E+03,-55.76156E+00
+2.160000E+03,-55.26531E+00
+2.165000E+03,-55.04063E+00
+2.170000E+03,-54.97063E+00
+2.175000E+03,-55.36563E+00
+2.180000E+03,-56.12563E+00
+2.185000E+03,-56.92375E+00
+2.190000E+03,-57.60375E+00
+2.195000E+03,-58.10281E+00
+2.200000E+03,-58.45156E+00
+2.205000E+03,-58.55469E+00
+2.210000E+03,-58.38844E+00
+2.215000E+03,-57.93563E+00
+2.220000E+03,-57.32438E+00
+2.225000E+03,-56.44531E+00
+2.230000E+03,-56.21531E+00
+2.235000E+03,-56.56281E+00
+2.240000E+03,-57.17906E+00
+2.245000E+03,-57.49531E+00
+2.250000E+03,-57.50781E+00
+2.255000E+03,-57.56438E+00
+2.260000E+03,-58.87000E+00
+2.265000E+03,-60.39594E+00
+2.270000E+03,-62.37094E+00
+2.275000E+03,-64.55469E+00
+2.280000E+03,-63.14094E+00
+2.285000E+03,-62.29063E+00
+2.290000E+03,-61.18063E+00
+2.295000E+03,-60.87344E+00
+2.300000E+03,-59.31875E+00
+2.305000E+03,-58.90125E+00
+2.310000E+03,-59.02750E+00
+2.315000E+03,-61.43500E+00
+2.320000E+03,-64.76219E+00
+2.325000E+03,-69.31094E+00
+2.330000E+03,-73.12219E+00
+2.335000E+03,-76.21719E+00
+2.340000E+03,-76.04750E+00
+2.345000E+03,-72.98750E+00
+2.350000E+03,-70.94688E+00
+2.355000E+03,-68.64688E+00
+2.360000E+03,-66.72156E+00
+2.365000E+03,-63.95656E+00
+2.370000E+03,-61.93688E+00
+2.375000E+03,-60.89063E+00
+2.380000E+03,-60.88656E+00
+2.385000E+03,-61.95656E+00
+2.390000E+03,-64.19656E+00
+2.395000E+03,-65.60344E+00
+2.400000E+03,-64.37656E+00
+2.405000E+03,-61.52031E+00
+2.410000E+03,-58.83125E+00
+2.415000E+03,-56.85563E+00
+2.420000E+03,-55.96125E+00
+2.425000E+03,-55.75625E+00
+2.430000E+03,-56.02750E+00
+2.435000E+03,-56.60188E+00
+2.440000E+03,-57.65906E+00
+2.445000E+03,-59.01406E+00
+2.450000E+03,-60.94844E+00
+2.455000E+03,-64.17094E+00
+2.460000E+03,-70.47687E+00
+2.465000E+03,-71.76438E+00
+2.470000E+03,-64.46844E+00
+2.475000E+03,-59.11719E+00
+2.480000E+03,-56.33000E+00
+2.485000E+03,-55.29625E+00
+2.490000E+03,-55.56906E+00
+2.495000E+03,-57.07281E+00
+2.500000E+03,-58.43750E+00
+2.505000E+03,-59.40219E+00
+2.510000E+03,-60.57156E+00
+2.515000E+03,-61.71500E+00
